video_id,channel,accent,license,note
iG9CE55wbtY,TED,UK,CC-BY-NC-ND,Sir Ken Robinson - Do Schools Kill Creativity (2006) - slow & exemplary diction
iCvmsMzlF7o,TED,US,CC-BY-NC-ND,Brené Brown - The Power of Vulnerability (2010) - clear US accent
qp0HIF3SfI4,TED,US,CC-BY-NC-ND,Simon Sinek - How Great Leaders Inspire Action - measured pace
c0KYU2j0TM4,TED,US,CC-BY-NC-ND,Susan Cain - The Power of Introverts - calm & deliberate
D9Ihs241zeg,TED,US,CC-BY-NC-ND,Chimamanda Ngozi Adichie - The Danger of a Single Story - articulate
Hhk4N9A0oCA,TED-Ed,US,CC-BY-NC-ND,Matthew Winkler - What makes a hero (animated, narrator clarity)
BnOX05LQybs,Huberman Lab,US,fair-use,Huberman + Michael Easter - Science of First World Problems
VSG9hY_t-rs,Huberman Lab,US,fair-use,Huberman - Hack To Increase Dopamine Levels
jSqCL7Npln0,Huberman Lab,US,fair-use,Huberman - Control Your Dopamine + Cold Showers Truth
fcN0BXzK8bg,BBC Learning English,UK,fair-use,6 Minute English - All About Language box set (1 hour vocab)
pzUL5NxMPuY,Learn English with Bob the Canadian,US,fair-use,Bob - English Imperatives (Be kind! Be nice!)
gm5dBhLmZoM,Learn English with Bob the Canadian,US,fair-use,Bob - Live English Lesson
kEwwxbknB3A,Learn English with Bob the Canadian,US,fair-use,Bob - Common English Questions We Use Every Day
kefWqzby-zI,Learn English with Bob the Canadian,US,fair-use,Bob - Lesson on Complaining in English
C_nLt9l74ZY,Learn English with Bob the Canadian,US,fair-use,Bob - 5 Things You Can Do Today To Improve Your English
HqsmVXlbVOI,Rachel's English,US,fair-use,Rachel - 10 must-know English words / Perfect English
iKv4oc2zbeA,Rachel's English,US,fair-use,Rachel - Detailed Analysis of American speech / Accent training
aIZdTPwWL5I,Rachel's English,US,fair-use,Rachel - Top 100 Words in American English (Definitive Guide)
opKPVqxE_QY,Rachel's English,US,fair-use,Rachel - English Words You're Probably Mispronouncing
zash7H0eMQ4,Rachel's English,US,fair-use,Rachel - Welcome to American Pronunciation
RUuwZEzMJNM,Rachel's English,US,fair-use,Rachel - Welcome to Rachel's English (intro)
Yocja_N5s1I,Crash Course,US,fair-use,Crash Course - Agricultural Revolution (World History 1)
nosJVTuCHFk,Crash Course,US,fair-use,Crash Course - Rise of the West (World History 212)
jdVLAG_ptQM,Crash Course,US,fair-use,Crash Course - War and Civilization (World History 205)
tq6be-CZJ3w,Crash Course,US,fair-use,Crash Course - Big Bang (Big History 1)
b-PzAyZae-g,Speak English with Vanessa,US,fair-use,Vanessa - Real English Conversation Advanced
2a0SNJrp5MY,Speak English with Vanessa,US,fair-use,Vanessa - Welcome to Speak English With Vanessa
AcC-I1zBkLw,Speak English with Vanessa,US,fair-use,Vanessa - Understand FAST English Conversations
nnDVoc5GwSc,Speak English with Vanessa,US,fair-use,Vanessa - THINK and SPEAK in English daily routine
338muHaMK9Q,English with Lucy,UK,fair-use,Lucy - How to use 'to take'
gN5HOpQDkOA,English with Lucy,UK,fair-use,Lucy - Adjectives and Prepositions
nTV_bj3NErQ,TED,US,CC-BY-NC-ND,Jill Bolte Taylor - My Stroke of Insight (advanced English lesson)
24Tzq9sdTas,TEDx,NEUTRAL,CC-BY-NC-ND,Yukiko Nakayama - Simple English for Everyone (TEDxKyoto)
jgUmwP_fNAo,TED,US,CC-BY-NC-ND,Speaking Slowly Will Transform Your Communication
5KfHxF6Vhps,Khan Academy,US,fair-use,Khan - Introduction to the cell (HS biology)
HjA-SvvL2BQ,Khan Academy,US,fair-use,Khan - Welcome to high school biology
j5VA6YrqTNs,Khan Academy,US,fair-use,Khan - Introduction to biomolecules
rMuj2MGeIAc,Khan Academy,US,fair-use,Khan - Origins of life
UYfZlRkFFTo,mmmEnglish,AU,fair-use,Emma - Learn English With Emma (intro)
bOnmVFww6gc,mmmEnglish,AU,fair-use,Emma - English Cooking Verbs (Poach an Egg)
wP7valcP4FI,engVid,US,fair-use,Alex - Learn English with Alex (engVid intro)
